0.94,0.5,3.0155
0.64,0.4,2.2984
0.6,0.55,2.43
0.58,0.32,2.202
0.58,0.19,2.0078
0.58,0.79,2.5753
0.2,0.71,1.9215
0.69,0.12,2.1185
0,0.63,1.5768
0.01,0.53,1.469
0.44,0.13,1.5644
0.26,0.79,2.1807
0.95,0.61,3.1244
0.47,0.39,1.9249
0.4,0.31,1.8857
0.33,0.49,1.8319
0.13,0.55,1.6791
0.94,0.87,3.4888
0.89,0.66,3.1612
0.64,0.57,2.4654
0.86,0.85,3.3076
0.56,0.46,2.2335
0.99,0.91,3.6291
0.44,0.35,1.8775
0.44,0.41,1.862
0.65,0.95,2.8846
0.24,0.77,2.0405
0.37,0.9,2.4051
0.21,0.21,1.539
0.45,0.12,1.7435
0.23,0.41,1.7285
0.47,0.02,1.589
0.42,0.26,1.8393
0.35,0.76,2.1845
0.96,0.76,3.3729
0.52,0.75,2.3514
0.77,0.87,3.0359
0.54,0.69,2.4175
0.88,0.38,2.8446
0.59,0.89,2.6941
0.46,0.48,2.0447
0.88,0.82,3.2603
0.29,0.81,2.1935
0.14,0.39,1.4481
0.34,0.35,1.7416
0,0.77,1.8257
0.79,0.71,2.9319
0.8,0.34,2.5499
0.19,0.48,1.7378
0.95,0.42,2.951
0.52,0.43,2.1211
0.49,0.04,1.6638
0.59,0.05,1.9137
0.58,0.8,2.6531
0.92,0.33,2.9167
0.86,0.62,2.9025
0.36,0.34,1.7097
0.37,0.52,1.9629
0.19,0.47,1.7564
0.2,0.79,1.9808
0.25,0.86,2.1628
0.63,0.04,1.7903
0.63,0.46,2.2654
0.53,0.56,2.2843
0.95,0.41,2.974
0.25,0.14,1.4284
0.72,0.48,2.5515
0.49,0.41,2.0294
0.74,0.34,2.5367
0.4,0.05,1.4565
0,0.6,1.5786
0.21,0.05,1.1787
0.35,0.1,1.4441
0.13,0.96,2.043
0.31,0.99,2.342
0.44,0.05,1.5953
0.44,0.34,1.9082
0.59,0.26,2.1761
0.65,0.38,2.3219
